proxy,spearman_r,spearman_p,pearson_r,pearson_p,n,abs_spearman
mem_delta_info,0.8095900074595784,2.7059230266267447e-133,0.7318070323135224,1.7351733033049858e-96,569,0.8095900074595784
mem_delta_novo,0.8046217799448848,1.8527844694166045e-130,0.7351686010141804,8.377915471443562e-98,569,0.8046217799448848
token_count,0.799805745171838,8.700461053576749e-128,0.6872251698392065,9.745005684277164e-81,569,0.799805745171838
content_token_count,0.7982684245422247,5.984470656111913e-127,0.6973969493888359,4.485951109152308e-84,569,0.7982684245422247
mem_delta_relv,0.7952003246201571,2.672369157344316e-125,0.7290783290329483,1.9641422932355357e-95,569,0.7952003246201571
tfidf_sum,0.793890164354923,1.3269647213426834e-124,0.6919735432173995,2.807507526517808e-82,569,0.793890164354923
mem_delta,0.7808618572881301,6.013299915238234e-118,0.7203223495914299,3.886763613643726e-92,569,0.7808618572881301
claim_count,0.7743175415787543,8.964865149343554e-115,0.713200354790283,1.5106341276458976e-89,569,0.7743175415787543
novel_word_count,0.7612608947023856,9.44535158919382e-109,0.6328697765947409,5.257527585611964e-65,569,0.7612608947023856
tfidf_max,0.7037176886542982,3.2105953104395288e-86,0.6427911627067526,1.2213790368511088e-67,569,0.7037176886542982
mem_delta_triad,0.6227873682316146,1.998873120022833e-62,0.57195928936616,9.619711987728349e-51,569,0.6227873682316146
mem_delta_imsc,0.602161963619457,1.9720514171456693e-57,0.5481890556760931,6.020153201933948e-46,569,0.602161963619457
tfidf_mean,0.5450805928855609,2.392088048269167e-45,0.5037124438603409,6.126204955208358e-38,569,0.5450805928855609
entity_count,0.5013420655141276,1.5192702059214683e-37,0.4386796530669019,3.662213791577655e-28,569,0.5013420655141276
novel_entity_count,0.4243861089754586,2.7826793556793717e-26,0.41122101742278827,1.2556776906690286e-24,569,0.4243861089754586
novel_entity_ratio,0.3728202202024521,3.3340470181709605e-20,0.3027001542973403,1.6015274321959764e-13,569,0.3728202202024521
novel_entity_density_token,0.34562688151384097,2.077538140600522e-17,0.018966879720958292,0.6516462690433312,569,0.34562688151384097
novel_word_density,0.32716792673817857,1.1616301647257463e-15,0.14815427025498093,0.0003913555189289615,569,0.32716792673817857
specificity_median_idf,0.22368431520867965,6.950589225766003e-08,0.24354557583376013,3.9675636999114745e-09,569,0.22368431520867965
specificity_mean_idf,0.19382279746703882,3.201259964435584e-06,0.21681576756129486,1.76293700294838e-07,569,0.19382279746703882
seen_entity_size_so_far,-0.11195204680993123,0.007517450680925574,-0.0954625986241844,0.02276630968976595,569,0.11195204680993123
seen_vocab_size_so_far,-0.10833634182987388,0.009705256230628548,-0.10727166067891618,0.010449353560033755,569,0.10833634182987388
cumulative_new_entity_count,-0.10005198666055687,0.016970008913809235,-0.08787718780603705,0.03611379709857596,569,0.10005198666055687
cumulative_new_lemma_count,-0.09345235598129371,0.025802962470055795,-0.09417658126752218,0.02467093257894092,569,0.09345235598129371
