model,aspect,mae,n
gpt-5,CIG,0.4363796133567663,569
gpt-5-mini,CIG,0.47785588752196845,569
gemini-2.5-flash,CIG,0.5256590509666081,569
gpt-5,Novelty,0.5330990041007616,569
gpt-5-mini,Novelty,0.5953134153485647,569
gemini-2.5-flash,Novelty,0.5965436438195665,569
gpt-5,Relevance,0.4180140597539543,569
gpt-5-mini,Relevance,0.4744874048037493,569
gemini-2.5-flash,Relevance,0.5795254833040422,569
gpt-5-mini,Scope,0.4273579379027534,569
gemini-2.5-flash,Scope,0.4613942589338019,569
gpt-5,Scope,0.48160515524311653,569
